height
182.0
166.9
159.6
159.6
169.4
156.0
174.5
167.4
174.9
150.4
159.5
167.4
167.4
174.7
167.4
156.0
182.1
160.6
164.6
174.5
167.4
167.2
171.9
182.1
150.4
180.2
173.4
169.4
155.8
167.8
174.7
163.9
176.8
170.7
164.6
168.6
164.1
161.9
172.5
180.2
166.9
160.0
150.4
172.5
164.1
151.5
174.7
167.4
167.8
168.8
173.4
174.8
171.1
169.4
160.6
175.3
172.9
167.4
169.7
163.9
164.6
156.0
172.0
179.5
165.5
151.4
151.9
174.2
167.4
171.1
175.1
160.1
167.2
162.8
162.0
164.7
162.8
150.4
173.0
169.6
151.5
161.9
180.2
173.6
174.7
151.5
159.8
177.0
150.4
174.2
153.2
164.7
170.7
164.5
161.9
160.2
159.6
174.8
159.6
164.7
